input file,prediction_fraction,k,comp_time,random_prediction_dataset,min_max_normalization,holidays_flag,join_holidays,month_flag,past_values,reduced size,best model,best model cross val score,best model test score,,,,,,,,,
Main_cbe_04.csv,0.25,5,0.01,FALSE,FALSE,TRUE,TRUE,TRUE,3,0,ExtraTreesRegressor,0.704537903,0.72926708,DummyRegressor,-0.096047915,ExtraTreesRegressor,0.704537903,,,,,
Main_cbe_10.csv,0.25,5,0.01,FALSE,FALSE,TRUE,TRUE,TRUE,3,0,ExtraTreesRegressor,0.669631234,0.794035638,DummyRegressor,-0.031465215,ExtraTreesRegressor,0.669631234,,,,,
Main_cbe_10.csv,0.25,5,0.1,FALSE,FALSE,TRUE,TRUE,TRUE,3,0,ExtraTreesRegressor,0.685038914,0.804836252,DummyRegressor,-0.031465215,ExtraTreesRegressor,0.685038914,,,,,
Main_cbe_10.csv,0.25,5,0.1,FALSE,FALSE,TRUE,FALSE,TRUE,3,0,ExtraTreesRegressor,0.684163087,0.803450421,DummyRegressor,-0.031465215,ExtraTreesRegressor,0.684163087,,,,,
Main_cbe_01.csv,0.25,5,0.1,FALSE,FALSE,TRUE,FALSE,TRUE,3,0,ExtraTreesRegressor,0.729613922,0.136305216,DummyRegressor,-0.172283179,ExtraTreesRegressor,0.729613922,,,,,
Main_cbe_03.csv,0.25,5,0.1,FALSE,FALSE,TRUE,FALSE,TRUE,3,0,ExtraTreesRegressor,-0.654935926,0.031683902,DummyRegressor,-0.977783044,KNeighborsRegressor,-0.997593503,RandomForestRegressor,-0.688329855,ExtraTreesRegressor,-0.654935926,
Main_cbe_04.csv,0.25,5,0.1,FALSE,FALSE,TRUE,FALSE,TRUE,3,0,ExtraTreesRegressor,0.722552007,0.748104347,DummyRegressor,-0.096047915,KNeighborsRegressor,0.653285278,RandomForestRegressor,0.708419848,ExtraTreesRegressor,0.722552007,
Main_cbe_05.csv,0.25,5,0.01,FALSE,FALSE,TRUE,FALSE,TRUE,3,0,ExtraTreesRegressor,0.874418494,0.879653969,DummyRegressor,-0.009231408,KNeighborsRegressor,0.810625442,RandomForestRegressor,0.865869359,ExtraTreesRegressor,0.874418494,
Main_cbe_06.csv,0.25,5,0.01,FALSE,FALSE,TRUE,FALSE,TRUE,3,0,KNeighborsRegressor,0.873819555,0.918370309,DummyRegressor,-0.070246519,KNeighborsRegressor,0.873819555,RandomForestRegressor,0.844580351,ExtraTreesRegressor,0.868951892,
Main_cbe_06.csv,0.25,5,0.01,FALSE,FALSE,TRUE,FALSE,TRUE,3,0,ExtraTreesRegressor,0.952631203,0.943446049,DummyRegressor,-0.201232018,KNeighborsRegressor,0.911222916,RandomForestRegressor,0.947110336,ExtraTreesRegressor,0.952631203,
Main_cbe_06.csv,0.25,5,0.01,FALSE,FALSE,TRUE,FALSE,TRUE,3,0,ExtraTreesRegressor,0.949067135,0.944311522,DummyRegressor,-0.070304502,KNeighborsRegressor,0.910642513,RandomForestRegressor,0.942073827,ExtraTreesRegressor,0.949067135,
Main_cbe_06.csv,0.25,5,0.01,FALSE,FALSE,TRUE,FALSE,TRUE,3,0,ExtraTreesRegressor,0.955895436,0.948651427,DummyRegressor,-0.070304502,RandomForestRegressor,0.915845292,ExtraTreesRegressor,0.955895436,,,
Main_cbe_07.csv,0.25,5,0.01,FALSE,FALSE,TRUE,FALSE,TRUE,3,0,ExtraTreesRegressor,0.641580714,0.473646351,DummyRegressor,-0.07662072,RandomForestRegressor,0.619885286,ExtraTreesRegressor,0.641580714,,,
Main_cbe_07.csv,0.25,5,0.1,FALSE,FALSE,TRUE,FALSE,TRUE,3,0,ExtraTreesRegressor,0.648086498,0.473449937,DummyRegressor,-0.05656634,KNeighborsRegressor,0.601506399,RandomForestRegressor,0.626605474,ExtraTreesRegressor,0.648086498,
Main_cbe_08.csv,0.25,5,0.1,FALSE,FALSE,TRUE,FALSE,TRUE,3,0,ExtraTreesRegressor,0.839381362,0.94635786,DummyRegressor,-0.045698711,KNeighborsRegressor,0.788051639,RandomForestRegressor,0.821717312,ExtraTreesRegressor,0.839381362,
Main_cbe_08.csv,0.25,5,0.1,FALSE,FALSE,TRUE,FALSE,TRUE,3,0,KNeighborsRegressor,0.788067066,0.906105175,DummyRegressor,-0.045698711,KNeighborsRegressor,0.788067066,,,,,
Main_cbe_09.csv,0.25,5,0.1,FALSE,FALSE,TRUE,FALSE,TRUE,3,0,ExtraTreesRegressor,0.338473539,0.71693522,DummyRegressor,-0.252930931,KNeighborsRegressor,0.281315602,RandomForestRegressor,0.29392787,ExtraTreesRegressor,0.338473539,
Main_cbe_10.csv,0.25,5,0.1,FALSE,FALSE,TRUE,FALSE,TRUE,3,0,ExtraTreesRegressor,0.688166954,0.807000665,DummyRegressor,-0.031465215,KNeighborsRegressor,0.589443599,RandomForestRegressor,0.66711839,ExtraTreesRegressor,0.688166954,
v0.9b,,,,,,,,,,0,,,,,,,,,,,,
Main_cbe_06.csv,0.25,5,1,FALSE,FALSE,TRUE,FALSE,TRUE,3,0,ExtraTreesRegressor,0.958894934,0.951572643,DummyRegressor,-0.070304502,KNeighborsRegressor,0.911333244,RandomForestRegressor,0.953101508,ExtraTreesRegressor,0.958894934,
Main_cbe_07.csv,0.25,5,1,FALSE,FALSE,TRUE,FALSE,TRUE,3,0,ExtraTreesRegressor,0.649132472,0.477045916,DummyRegressor,-0.05656634,KNeighborsRegressor,0.601506399,RandomForestRegressor,0.628315094,ExtraTreesRegressor,0.649132472,
Main_cbe_03.csv,0.25,5,1,FALSE,FALSE,TRUE,FALSE,TRUE,3,0,RandomForestRegressor,-0.637435552,0.040500941,DummyRegressor,-0.977783044,KNeighborsRegressor,-0.997593503,RandomForestRegressor,-0.637435552,ExtraTreesRegressor,-0.638138752,
Main_cbe_01.csv,0.25,5,1,FALSE,FALSE,TRUE,FALSE,TRUE,3,0,ExtraTreesRegressor,0.730368242,0.130814916,DummyRegressor,-0.172283179,KNeighborsRegressor,0.682203016,RandomForestRegressor,0.723624654,ExtraTreesRegressor,0.730368242,
